ID,prediction
2019 X 7 X C1015 X AS27137,-0.17048952
2019 X 7 X C1015 X AS27138,-3.0510035
2019 X 7 X C1015 X AS27139,-3.9560397
2019 X 7 X C1015 X AS42018,-3.2948499
2019 X 7 X C1015 X AS46000,-2.4936216
2019 X 7 X C1017 X AS17005,-2.3961005
2019 X 7 X C1017 X AS27000,25.20036
2019 X 7 X C1017 X AS27132,2.5386932
2019 X 7 X C1017 X AS27133,5.8272243
2019 X 7 X C1017 X AS27134,4.7132916
2019 X 7 X C1017 X AS27137,-0.051249772
2019 X 7 X C1017 X AS27138,-2.8455818
2019 X 7 X C1017 X AS27139,-3.7129834
2019 X 7 X C1017 X AS42018,-3.18591
2019 X 7 X C1017 X AS46000,-2.5743823
2019 X 7 X C1018 X AS17005,-2.7732902
2019 X 7 X C1018 X AS27000,25.83069
2019 X 7 X C1018 X AS27132,5.566399
2019 X 7 X C1018 X AS27133,14.011798
2019 X 7 X C1018 X AS27134,19.187305
2019 X 7 X C1018 X AS27137,0.9833622
2019 X 7 X C1018 X AS27138,-2.861606
2019 X 7 X C1018 X AS27139,-4.100699
2019 X 7 X C1018 X AS42018,-2.8062508
2019 X 7 X C1018 X AS46000,-1.8176961
2019 X 7 X C1024 X AS17005,-2.0043433
2019 X 7 X C1024 X AS27000,26.643135
2019 X 7 X C1024 X AS27132,6.579645
2019 X 7 X C1024 X AS27133,31.104933
2019 X 7 X C1024 X AS27134,44.68984
2019 X 7 X C1024 X AS27137,9.581323
2019 X 7 X C1024 X AS27138,2.9443502
2019 X 7 X C1024 X AS27139,-3.57153
2019 X 7 X C1024 X AS42018,-3.303558
2019 X 7 X C1024 X AS46000,-0.040174395
2019 X 7 X C1026 X AS17005,0.21300468
2019 X 7 X C1026 X AS27000,30.384254
2019 X 7 X C1026 X AS27132,5.2444882
2019 X 7 X C1026 X AS27133,21.426538
2019 X 7 X C1026 X AS27134,14.440477
2019 X 7 X C1026 X AS27137,-0.20986086
2019 X 7 X C1026 X AS27138,-3.1302762
2019 X 7 X C1026 X AS27139,-3.4291563
2019 X 7 X C1026 X AS42018,-2.1943498
2019 X 7 X C1026 X AS46000,-1.6063546
2019 X 7 X C1027 X AS17005,-2.128098
2019 X 7 X C1027 X AS27000,26.12096
2019 X 7 X C1027 X AS27132,3.0102038
2019 X 7 X C1027 X AS27133,9.375721
2019 X 7 X C1027 X AS27134,7.542435
2019 X 7 X C1027 X AS27137,0.0058692098
2019 X 7 X C1027 X AS27138,-2.6408532
2019 X 7 X C1027 X AS27139,-3.4239936
2019 X 7 X C1027 X AS42018,-3.0455863
2019 X 7 X C1027 X AS46000,-2.4174378
2019 X 7 X C1028 X AS17005,-2.538813
2019 X 7 X C1028 X AS27000,26.974022
2019 X 7 X C1028 X AS27132,3.4713528
2019 X 7 X C1028 X AS27133,9.677205
2019 X 7 X C1028 X AS27134,11.586902
2019 X 7 X C1028 X AS27137,0.3987353
2019 X 7 X C1028 X AS27138,-2.9327235
2019 X 7 X C1028 X AS27139,-4.0414467
2019 X 7 X C1028 X AS42018,-3.1581435
2019 X 7 X C1028 X AS46000,-1.9514366
2019 X 7 X C1029 X AS17005,-2.04562
2019 X 7 X C1029 X AS27000,27.446089
2019 X 7 X C1029 X AS27132,4.2316775
2019 X 7 X C1029 X AS27133,11.002402
2019 X 7 X C1029 X AS27134,20.175865
2019 X 7 X C1029 X AS27137,2.9536617
2019 X 7 X C1029 X AS27138,-0.91488135
2019 X 7 X C1029 X AS27139,-4.4354577
2019 X 7 X C1029 X AS42018,-3.6289716
2019 X 7 X C1029 X AS46000,-1.8332019
2019 X 7 X C1030 X AS17005,-1.5104669
2019 X 7 X C1030 X AS27000,29.5122
2019 X 7 X C1030 X AS27132,5.273461
2019 X 7 X C1030 X AS27133,15.597173
2019 X 7 X C1030 X AS27134,15.276436
2019 X 7 X C1030 X AS27137,0.23537591
2019 X 7 X C1030 X AS27138,-3.2373424
2019 X 7 X C1030 X AS27139,-3.580869
2019 X 7 X C1030 X AS42018,-2.152887
2019 X 7 X C1030 X AS46000,-1.4219854
2019 X 7 X C1034 X AS17005,-1.9421629
2019 X 7 X C1034 X AS27000,27.211613
2019 X 7 X C1034 X AS27132,3.0931861
2019 X 7 X C1034 X AS27133,10.830145
2019 X 7 X C1034 X AS27134,10.277057
2019 X 7 X C1034 X AS27137,0.5724089
2019 X 7 X C1034 X AS27138,-2.5028052
2019 X 7 X C1034 X AS27139,-3.7586012
2019 X 7 X C1034 X AS42018,-3.122759
2019 X 7 X C1034 X AS46000,-2.0572538
2019 X 7 X C1035 X AS17005,-1.9856098
2019 X 7 X C1035 X AS27000,28.344128
2019 X 7 X C1035 X AS27132,2.0170488
2019 X 7 X C1035 X AS27133,6.763111
2019 X 7 X C1035 X AS27134,3.9923816
2019 X 7 X C1035 X AS27137,-0.21907184
2019 X 7 X C1035 X AS27138,-2.723731
2019 X 7 X C1035 X AS27139,-3.223021
2019 X 7 X C1035 X AS42018,-2.7621222
2019 X 7 X C1035 X AS46000,-2.1099327
2019 X 7 X C1051 X AS17005,-1.9255209
2019 X 7 X C1051 X AS27000,27.02816
2019 X 7 X C1051 X AS27132,4.871481
2019 X 7 X C1051 X AS27133,13.585207
2019 X 7 X C1051 X AS27134,13.916941
2019 X 7 X C1051 X AS27137,0.90034515
2019 X 7 X C1051 X AS27138,-2.594894
2019 X 7 X C1051 X AS27139,-3.513171
2019 X 7 X C1051 X AS42018,-2.4174056
2019 X 7 X C1051 X AS46000,-1.4236962
2019 X 7 X C1054 X AS17005,-1.7185913
2019 X 7 X C1054 X AS27000,28.431814
2019 X 7 X C1054 X AS27132,5.167249
2019 X 7 X C1054 X AS27133,28.206543
2019 X 7 X C1054 X AS27134,30.911192
2019 X 7 X C1054 X AS27137,3.3966157
2019 X 7 X C1054 X AS27138,-0.38895062
2019 X 7 X C1054 X AS27139,-3.8918967
2019 X 7 X C1054 X AS42018,-2.0708318
2019 X 7 X C1054 X AS46000,-0.5846003
2019 X 7 X C1055 X AS17005,-0.8966405
2019 X 7 X C1055 X AS27000,29.744585
2019 X 7 X C1055 X AS27132,1.2242477
2019 X 7 X C1055 X AS27133,6.2774854
2019 X 7 X C1055 X AS27134,12.136211
2019 X 7 X C1055 X AS27137,1.4035796
2019 X 7 X C1055 X AS27138,-1.4091157
2019 X 7 X C1055 X AS27139,-3.8884192
2019 X 7 X C1055 X AS42018,-3.6206403
2019 X 7 X C1055 X AS46000,-2.2288263
2019 X 7 X C1056 X AS17005,-1.7620006
2019 X 7 X C1056 X AS27000,30.263262
2019 X 7 X C1056 X AS27132,4.433116
2019 X 7 X C1056 X AS27133,9.65696
2019 X 7 X C1056 X AS27134,41.44117
2019 X 7 X C1056 X AS27137,39.90168
2019 X 7 X C1056 X AS27138,7.666215
2019 X 7 X C1056 X AS27139,2.2747831
2019 X 7 X C1056 X AS42018,-3.4728076
2019 X 7 X C1056 X AS46000,-0.79606485
2019 X 7 X C1058 X AS17005,1.1814734
2019 X 7 X C1058 X AS27000,33.65737
2019 X 7 X C1058 X AS27132,5.8751073
2019 X 7 X C1058 X AS27133,8.908849
2019 X 7 X C1058 X AS27134,2.3459845
2019 X 7 X C1058 X AS27137,-1.5630944
2019 X 7 X C1058 X AS27138,-2.8647723
2019 X 7 X C1058 X AS27139,-2.0568266
2019 X 7 X C1058 X AS42018,-1.548521
2019 X 7 X C1058 X AS46000,-1.8945333
2019 X 7 X C1059 X AS17005,-3.0399184
2019 X 7 X C1059 X AS27000,27.249014
2019 X 7 X C1059 X AS27132,6.090191
2019 X 7 X C1059 X AS27133,30.346518
2019 X 7 X C1059 X AS27134,37.822704
2019 X 7 X C1059 X AS27137,5.1830726
2019 X 7 X C1059 X AS27138,0.121665
2019 X 7 X C1059 X AS27139,-4.765284
2019 X 7 X C1059 X AS42018,-1.3762187
2019 X 7 X C1059 X AS46000,1.1183636
2019 X 7 X C1061 X AS17005,0.27522603
2019 X 7 X C1061 X AS27000,30.832193
2019 X 7 X C1061 X AS27132,0.07527861
2019 X 7 X C1061 X AS27133,3.901115
2019 X 7 X C1061 X AS27134,3.5524068
2019 X 7 X C1061 X AS27137,0.43541104
2019 X 7 X C1061 X AS27138,-1.4202256
2019 X 7 X C1061 X AS27139,-2.5650249
2019 X 7 X C1061 X AS42018,-2.9623256
2019 X 7 X C1061 X AS46000,-2.5617974
2019 X 7 X C1062 X AS17005,-2.2933717
2019 X 7 X C1062 X AS27000,29.907053
2019 X 7 X C1062 X AS27132,7.957679
2019 X 7 X C1062 X AS27133,35.31729
2019 X 7 X C1062 X AS27134,26.357618
2019 X 7 X C1062 X AS27137,2.8533444
2019 X 7 X C1062 X AS27138,-1.1525714
2019 X 7 X C1062 X AS27139,-3.0808089
2019 X 7 X C1062 X AS42018,-0.45917112
2019 X 7 X C1062 X AS46000,0.55449146
2019 X 7 X C1063 X AS17005,-0.5308851
2019 X 7 X C1063 X AS27000,29.384296
2019 X 7 X C1063 X AS27132,-0.21857134
2019 X 7 X C1063 X AS27133,5.1541204
2019 X 7 X C1063 X AS27134,3.9632897
2019 X 7 X C1063 X AS27137,0.660929
2019 X 7 X C1063 X AS27138,-1.4878527
2019 X 7 X C1063 X AS27139,-2.8745296
2019 X 7 X C1063 X AS42018,-3.0294077
2019 X 7 X C1063 X AS46000,-2.1784015
2019 X 7 X C1066 X AS17005,-1.8573611
2019 X 7 X C1066 X AS27000,30.46443
2019 X 7 X C1066 X AS27132,2.724608
2019 X 7 X C1066 X AS27133,7.8067617
2019 X 7 X C1066 X AS27134,9.622971
2019 X 7 X C1066 X AS27137,0.9885708
2019 X 7 X C1066 X AS27138,-1.5671748
2019 X 7 X C1066 X AS27139,-3.153586
2019 X 7 X C1066 X AS42018,-2.8084853
2019 X 7 X C1066 X AS46000,-1.9545982
2019 X 7 X C1067 X AS17005,-1.8108958
2019 X 7 X C1067 X AS27000,31.083366
2019 X 7 X C1067 X AS27132,4.7265363
2019 X 7 X C1067 X AS27133,24.087568
2019 X 7 X C1067 X AS27134,17.21955
2019 X 7 X C1067 X AS27137,0.84284794
2019 X 7 X C1067 X AS27138,-2.3807347
2019 X 7 X C1067 X AS27139,-2.868497
2019 X 7 X C1067 X AS42018,-1.3002247
2019 X 7 X C1067 X AS46000,-0.4605817
2019 X 7 X C1069 X AS17005,-1.0956038
2019 X 7 X C1069 X AS27000,29.95232
2019 X 7 X C1069 X AS27132,3.7924695
2019 X 7 X C1069 X AS27133,30.505194
2019 X 7 X C1069 X AS27134,32.20411
2019 X 7 X C1069 X AS27137,4.3191504
2019 X 7 X C1069 X AS27138,1.1209168
2019 X 7 X C1069 X AS27139,-3.7598436
2019 X 7 X C1069 X AS42018,-2.1298392
2019 X 7 X C1069 X AS46000,-0.04288289
2019 X 7 X C1070 X AS17005,-0.10757294
2019 X 7 X C1070 X AS27000,32.361668
2019 X 7 X C1070 X AS27132,1.8678225
2019 X 7 X C1070 X AS27133,6.521872
2019 X 7 X C1070 X AS27134,3.4431524
2019 X 7 X C1070 X AS27137,-0.04059121
2019 X 7 X C1070 X AS27138,-1.4370198
2019 X 7 X C1070 X AS27139,-2.1430454
2019 X 7 X C1070 X AS42018,-2.3530173
2019 X 7 X C1070 X AS46000,-2.0327744
2019 X 7 X C1072 X AS17005,-2.0467238
2019 X 7 X C1072 X AS27000,30.684544
2019 X 7 X C1072 X AS27132,2.5866976
2019 X 7 X C1072 X AS27133,9.229903
2019 X 7 X C1072 X AS27134,7.5872803
2019 X 7 X C1072 X AS27137,0.26185414
2019 X 7 X C1072 X AS27138,-2.2060392
2019 X 7 X C1072 X AS27139,-2.6830504
2019 X 7 X C1072 X AS42018,-2.0580263
2019 X 7 X C1072 X AS46000,-1.419046
2019 X 7 X C1073 X AS17005,-1.6492761
2019 X 7 X C1073 X AS27000,30.758223
2019 X 7 X C1073 X AS27132,3.9850984
2019 X 7 X C1073 X AS27133,20.50934
2019 X 7 X C1073 X AS27134,30.466867
2019 X 7 X C1073 X AS27137,5.1489506
2019 X 7 X C1073 X AS27138,1.0448288
2019 X 7 X C1073 X AS27139,-3.1705472
2019 X 7 X C1073 X AS42018,-2.5944893
2019 X 7 X C1073 X AS46000,-0.7600385
2019 X 7 X C1074 X AS17005,-0.5513396
2019 X 7 X C1074 X AS27000,33.507713
2019 X 7 X C1074 X AS27132,4.08793
2019 X 7 X C1074 X AS27133,22.72979
2019 X 7 X C1074 X AS27134,12.899985
2019 X 7 X C1074 X AS27137,0.40518066
2019 X 7 X C1074 X AS27138,-1.9656904
2019 X 7 X C1074 X AS27139,-2.1917782
2019 X 7 X C1074 X AS42018,-1.4707142
2019 X 7 X C1074 X AS46000,-1.0617806
2019 X 7 X C1077 X AS17005,-1.5300316
2019 X 7 X C1077 X AS27000,30.982386
2019 X 7 X C1077 X AS27132,18.45657
2019 X 7 X C1077 X AS27133,71.39402
2019 X 7 X C1077 X AS27134,53.66921
2019 X 7 X C1077 X AS27137,10.18808
2019 X 7 X C1077 X AS27138,6.0859423
2019 X 7 X C1077 X AS27139,-2.3532739
2019 X 7 X C1077 X AS42018,0.103414446
2019 X 7 X C1077 X AS46000,3.4461315
2019 X 7 X C1078 X AS17005,2.0903504
2019 X 7 X C1078 X AS27000,36.64352
2019 X 7 X C1078 X AS27132,6.967835
2019 X 7 X C1078 X AS27133,55.101814
2019 X 7 X C1078 X AS27134,40.95708
2019 X 7 X C1078 X AS27137,6.920915
2019 X 7 X C1078 X AS27138,4.0742083
2019 X 7 X C1078 X AS27139,-2.5377364
2019 X 7 X C1078 X AS42018,-1.1154001
2019 X 7 X C1078 X AS46000,0.65520144
2019 X 7 X C1080 X AS17005,0.5109769
2019 X 7 X C1080 X AS27000,33.293015
2019 X 7 X C1080 X AS27132,1.677016
2019 X 7 X C1080 X AS27133,5.773403
2019 X 7 X C1080 X AS27134,2.1992292
2019 X 7 X C1080 X AS27137,-0.32453173
2019 X 7 X C1080 X AS27138,-0.88168585
2019 X 7 X C1080 X AS27139,-1.316664
2019 X 7 X C1080 X AS42018,-1.862638
2019 X 7 X C1080 X AS46000,-2.086158
2019 X 7 X C1082 X AS17005,-2.3161726
2019 X 7 X C1082 X AS27000,30.853346
2019 X 7 X C1082 X AS27132,4.2607346
2019 X 7 X C1082 X AS27133,15.957588
2019 X 7 X C1082 X AS27134,18.42065
2019 X 7 X C1082 X AS27137,1.7211816
2019 X 7 X C1082 X AS27138,-1.4447341
2019 X 7 X C1082 X AS27139,-3.2620544
2019 X 7 X C1082 X AS42018,-1.8755344
2019 X 7 X C1082 X AS46000,-0.6615366
2019 X 7 X C1083 X AS17005,-0.888235
2019 X 7 X C1083 X AS27000,32.337
2019 X 7 X C1083 X AS27132,1.9646097
2019 X 7 X C1083 X AS27133,11.821447
2019 X 7 X C1083 X AS27134,13.200106
2019 X 7 X C1083 X AS27137,0.9080949
2019 X 7 X C1083 X AS27138,-1.9320877
2019 X 7 X C1083 X AS27139,-2.8628347
2019 X 7 X C1083 X AS42018,-1.920078
2019 X 7 X C1083 X AS46000,-0.99386466
2019 X 7 X C1084 X AS17005,-0.78651434
2019 X 7 X C1084 X AS27000,31.207481
2019 X 7 X C1084 X AS27132,6.3796773
2019 X 7 X C1084 X AS27133,35.596886
2019 X 7 X C1084 X AS27134,33.022575
2019 X 7 X C1084 X AS27137,6.0624056
2019 X 7 X C1084 X AS27138,2.0736487
2019 X 7 X C1084 X AS27139,-2.2115743
2019 X 7 X C1084 X AS42018,-1.910942
2019 X 7 X C1084 X AS46000,-0.40561438
2019 X 7 X C1086 X AS17005,-0.40148243
2019 X 7 X C1086 X AS27000,36.14051
2019 X 7 X C1086 X AS27132,11.33484
2019 X 7 X C1086 X AS27133,59.209484
2019 X 7 X C1086 X AS27134,63.394154
2019 X 7 X C1086 X AS27137,10.18808
2019 X 7 X C1086 X AS27138,7.721174
2019 X 7 X C1086 X AS27139,1.8050468
2019 X 7 X C1086 X AS42018,-2.3473532
2019 X 7 X C1086 X AS46000,1.5963341
2019 X 7 X C1087 X AS17005,2.5716987
2019 X 7 X C1087 X AS27000,39.838818
2019 X 7 X C1087 X AS27132,4.184038
2019 X 7 X C1087 X AS27133,43.546505
2019 X 7 X C1087 X AS27134,46.834805
2019 X 7 X C1087 X AS27137,6.293065
2019 X 7 X C1087 X AS27138,3.2581542
2019 X 7 X C1087 X AS27139,-0.5333964
2019 X 7 X C1087 X AS42018,-1.9984176
2019 X 7 X C1087 X AS46000,0.018480688
2019 X 7 X C1088 X AS17005,0.10519436
2019 X 7 X C1088 X AS27000,35.430157
2019 X 7 X C1088 X AS27132,3.489907
2019 X 7 X C1088 X AS27133,17.790527
2019 X 7 X C1088 X AS27134,42.30814
2019 X 7 X C1088 X AS27137,31.556711
2019 X 7 X C1088 X AS27138,5.5359545
2019 X 7 X C1088 X AS27139,1.9073604
2019 X 7 X C1088 X AS42018,-2.2258434
2019 X 7 X C1088 X AS46000,-1.1238885
2019 X 7 X C1089 X AS17005,0.39144507
2019 X 7 X C1089 X AS27000,36.40814
2019 X 7 X C1089 X AS27132,4.4272604
2019 X 7 X C1089 X AS27133,21.027603
2019 X 7 X C1089 X AS27134,5.63354
2019 X 7 X C1089 X AS27137,-1.1463491
2019 X 7 X C1089 X AS27138,-2.3791366
2019 X 7 X C1089 X AS27139,-1.6058244
2019 X 7 X C1089 X AS42018,-0.78594786
2019 X 7 X C1089 X AS46000,-0.7208917
2019 X 7 X C1090 X AS17005,-1.8601042
2019 X 7 X C1090 X AS27000,29.957226
2019 X 7 X C1090 X AS27132,3.5063267
2019 X 7 X C1090 X AS27133,29.426798
2019 X 7 X C1090 X AS27134,20.366648
2019 X 7 X C1090 X AS27137,2.478778
2019 X 7 X C1090 X AS27138,-1.4942095
2019 X 7 X C1090 X AS27139,-2.9361322
2019 X 7 X C1090 X AS42018,-1.0979848
2019 X 7 X C1090 X AS46000,0.44652423
2019 X 7 X C1091 X AS17005,1.244357
2019 X 7 X C1091 X AS27000,32.26655
2019 X 7 X C1091 X AS27132,0.47500366
2019 X 7 X C1091 X AS27133,5.546355
2019 X 7 X C1091 X AS27134,1.8101885
2019 X 7 X C1091 X AS27137,-0.026575595
2019 X 7 X C1091 X AS27138,-0.5014352
2019 X 7 X C1091 X AS27139,-1.2443328
2019 X 7 X C1091 X AS42018,-1.6420945
2019 X 7 X C1091 X AS46000,-1.4518883
2019 X 7 X C1092 X AS17005,-1.6214911
2019 X 7 X C1092 X AS27000,30.677807
2019 X 7 X C1092 X AS27132,3.3733819
2019 X 7 X C1092 X AS27133,17.342987
2019 X 7 X C1092 X AS27134,21.094067
2019 X 7 X C1092 X AS27137,4.054269
2019 X 7 X C1092 X AS27138,0.21033561
2019 X 7 X C1092 X AS27139,-3.1972082
2019 X 7 X C1092 X AS42018,-2.334955
2019 X 7 X C1092 X AS46000,-0.5544335
2019 X 7 X C1093 X AS17005,0.31145918
2019 X 7 X C1093 X AS27000,33.77396
2019 X 7 X C1093 X AS27132,3.0218303
2019 X 7 X C1093 X AS27133,15.903758
2019 X 7 X C1093 X AS27134,6.3905516
2019 X 7 X C1093 X AS27137,-0.41428703
2019 X 7 X C1093 X AS27138,-1.8939885
2019 X 7 X C1093 X AS27139,-1.777075
2019 X 7 X C1093 X AS42018,-1.0161272
2019 X 7 X C1093 X AS46000,-0.61561686
2019 X 7 X C1094 X AS17005,-1.1721755
2019 X 7 X C1094 X AS27000,31.2398
2019 X 7 X C1094 X AS27132,1.878778
2019 X 7 X C1094 X AS27133,16.358448
2019 X 7 X C1094 X AS27134,6.8365173
2019 X 7 X C1094 X AS27137,0.021467596
2019 X 7 X C1094 X AS27138,-1.805791
2019 X 7 X C1094 X AS27139,-1.7408669
2019 X 7 X C1094 X AS42018,-0.92586184
2019 X 7 X C1094 X AS46000,-0.3192105
2019 X 7 X C1095 X AS17005,-0.8947439
2019 X 7 X C1095 X AS27000,31.47086
2019 X 7 X C1095 X AS27132,-0.4637746
2019 X 7 X C1095 X AS27133,8.288384
2019 X 7 X C1095 X AS27134,8.380824
2019 X 7 X C1095 X AS27137,0.99575883
2019 X 7 X C1095 X AS27138,-1.2387557
2019 X 7 X C1095 X AS27139,-2.3399117
2019 X 7 X C1095 X AS42018,-1.9145155
2019 X 7 X C1095 X AS46000,-0.9054596
2019 X 7 X C1098 X AS17005,-0.6911224
2019 X 7 X C1098 X AS27000,31.786674
2019 X 7 X C1098 X AS27132,2.574154
2019 X 7 X C1098 X AS27133,16.646624
2019 X 7 X C1098 X AS27134,5.725025
2019 X 7 X C1098 X AS27137,-0.22535866
2019 X 7 X C1098 X AS27138,-1.42506
2019 X 7 X C1098 X AS27139,-1.3169504
2019 X 7 X C1098 X AS42018,-0.8994745
2019 X 7 X C1098 X AS46000,-0.628823
2019 X 7 X C1099 X AS17005,-1.1930356
2019 X 7 X C1099 X AS27000,30.933533
2019 X 7 X C1099 X AS27132,1.9979655
2019 X 7 X C1099 X AS27133,21.147396
2019 X 7 X C1099 X AS27134,28.001617
2019 X 7 X C1099 X AS27137,4.252351
2019 X 7 X C1099 X AS27138,1.1372185
2019 X 7 X C1099 X AS27139,-2.6379683
2019 X 7 X C1099 X AS42018,-1.9499247
2019 X 7 X C1099 X AS46000,-0.5892103
2019 X 7 X C1101 X AS17005,-0.22362462
2019 X 7 X C1101 X AS27000,35.660095
2019 X 7 X C1101 X AS27132,2.111052
2019 X 7 X C1101 X AS27133,17.334978
2019 X 7 X C1101 X AS27134,9.830989
2019 X 7 X C1101 X AS27137,0.39380193
2019 X 7 X C1101 X AS27138,-1.470233
2019 X 7 X C1101 X AS27139,-2.0566938
2019 X 7 X C1101 X AS42018,-1.486698
2019 X 7 X C1101 X AS46000,-0.72592723
2019 X 7 X C1106 X AS17005,-0.77227503
2019 X 7 X C1106 X AS27000,31.09788
2019 X 7 X C1106 X AS27132,2.5340238
2019 X 7 X C1106 X AS27133,17.203636
2019 X 7 X C1106 X AS27134,5.6026936
2019 X 7 X C1106 X AS27137,-0.056746423
2019 X 7 X C1106 X AS27138,-1.5313005
2019 X 7 X C1106 X AS27139,-1.7105222
2019 X 7 X C1106 X AS42018,-1.0235277
2019 X 7 X C1106 X AS46000,-0.4645527
2019 X 7 X C1112 X AS17005,-0.8750361
2019 X 7 X C1112 X AS27000,30.483948
2019 X 7 X C1112 X AS27132,0.20288685
2019 X 7 X C1112 X AS27133,9.422298
2019 X 7 X C1112 X AS27134,2.8792055
2019 X 7 X C1112 X AS27137,-0.11336893
2019 X 7 X C1112 X AS27138,-1.3203654
2019 X 7 X C1112 X AS27139,-1.765187
2019 X 7 X C1112 X AS42018,-1.3255451
2019 X 7 X C1112 X AS46000,-0.6438364
2019 X 7 X C1144 X AS17005,0.11143774
2019 X 7 X C1144 X AS27000,28.741386
2019 X 7 X C1144 X AS27132,2.2254138
2019 X 7 X C1144 X AS27133,13.229943
2019 X 7 X C1144 X AS27134,9.228446
2019 X 7 X C1144 X AS27137,1.1370053
2019 X 7 X C1144 X AS27138,-1.2249863
2019 X 7 X C1144 X AS27139,-2.001906
2019 X 7 X C1144 X AS42018,-1.4282336
2019 X 7 X C1144 X AS46000,-0.68207157
2019 X 7 X C1399 X AS17005,-0.65789306
2019 X 7 X C1399 X AS27000,31.089231
2019 X 7 X C1399 X AS27132,1.4364283
2019 X 7 X C1399 X AS27133,10.456343
2019 X 7 X C1399 X AS27134,2.4698622
2019 X 7 X C1399 X AS27137,-0.5520501
2019 X 7 X C1399 X AS27138,-1.4168518
2019 X 7 X C1399 X AS27139,-1.5230108
2019 X 7 X C1399 X AS42018,-1.0433474
2019 X 7 X C1399 X AS46000,-0.5769512
2019 X 7 X C1411 X AS17005,-1.103821
2019 X 7 X C1411 X AS27000,28.938982
2019 X 7 X C1411 X AS27132,8.657392
2019 X 7 X C1411 X AS27133,42.1149
2019 X 7 X C1411 X AS27134,39.514057
2019 X 7 X C1411 X AS27137,6.0039186
2019 X 7 X C1411 X AS27138,1.9730539
2019 X 7 X C1411 X AS27139,-3.101809
2019 X 7 X C1411 X AS42018,-0.32235754
2019 X 7 X C1411 X AS46000,1.8322709
2019 X 7 X C1413 X AS17005,1.3270787
